,Club_Name,Name,Event,Role,Fest_Name,Roll No.
4371,,keri carrier,fest_2_event_4,,fest_2,17XJ1A0101
3533,,keri carrier,fest_2_event_10,,fest_2,17XJ1A0101
3677,,keri carrier,fest_2_event_12,,fest_2,17XJ1A0101
2549,,keri carrier,fest_2_event_3,,fest_2,17XJ1A0101
4519,,keri carrier,fest_1_event_7,,fest_1,17XJ1A0101
5171,,keri carrier,fest_2_event_5,,fest_2,17XJ1A0101
2686,,keri carrier,fest_1_event_3,,fest_1,17XJ1A0101
4214,,keri carrier,fest_1_event_1,,fest_1,17XJ1A0101
2764,,kelley ruth,fest_1_event_1,,fest_1,17XJ1A0103
1854,,kaitlynn sotelo,fest_2_event_7,,fest_2,17XJ1A0104
3728,,kaitlynn sotelo,fest_2_event_10,,fest_2,17XJ1A0104
1683,,kaitlynn sotelo,fest_2_event_2,,fest_2,17XJ1A0104
5383,,kaitlynn sotelo,fest_2_event_8,,fest_2,17XJ1A0104
3923,,kaitlynn sotelo,fest_1_event_3,,fest_1,17XJ1A0104
572,club_2,kaitlynn sotelo,club_2_event_1,Participant,,17XJ1A0104
1093,,kaitlynn sotelo,fest_2_event_2,,fest_2,17XJ1A0104
2648,,kaitlynn sotelo,fest_1_event_2,,fest_2,17XJ1A0104
160,club_2,kaitlynn sotelo,club_2_event_2,Participant,,17XJ1A0104
753,club_1,kaitlynn sotelo,club_1_event_1,Participant,,17XJ1A0104
4557,,kaitlynn sotelo,fest_2_event_15,,fest_2,17XJ1A0104
3926,,kaitlynn sotelo,fest_1_event_6,,fest_1,17XJ1A0104
2158,,kaitlynn sotelo,fest_1_event_4,,fest_1,17XJ1A0104
4452,,kaitlynn sotelo,fest_2_event_4,,fest_2,17XJ1A0104
396,club_1,kaitlynn sotelo,club_1_event_3,Participant,,17XJ1A0104
549,club_1,kaitlynn sotelo,club_1_event_2,Participant,,17XJ1A0104
356,club_2,kaitlynn sotelo,club_2_event_3,Participant,,17XJ1A0104
3426,,kaitlynn sotelo,fest_1_event_1,,fest_1,17XJ1A0104
5322,,kaitlynn sotelo,fest_1_event_5,,fest_1,17XJ1A0104
14,club_3,kaitlynn sotelo,club_3_event_1,Participant,,17XJ1A0104
702,club_3,kaitlynn sotelo,club_3_event_2,Participant,,17XJ1A0104
778,club_3,allen mcpherson,club_3_event_1,Participant,,17XJ1A0106
555,club_1,allen mcpherson,club_1_event_2,Participant,,17XJ1A0106
3287,,allen mcpherson,fest_1_event_3,,fest_1,17XJ1A0106
530,club_2,allen mcpherson,club_2_event_2,Participant,,17XJ1A0106
1589,,allen mcpherson,fest_2_event_2,,fest_2,17XJ1A0106
943,club_2,alycia woodard,club_2_event_1,Participant,,17XJ1A0107
914,club_1,alycia woodard,club_1_event_2,Participant,,17XJ1A0107
114,club_2,jadon vandyke,club_2_event_1,Participant,,17XJ1A0108
954,club_1,jadon vandyke,club_1_event_2,Participant,,17XJ1A0108
74,club_2,galilea villasenor,club_2_event_2,Participant,,17XJ1A0109
889,club_3,galilea villasenor,club_3_event_1,Participant,,17XJ1A0109
3708,,galilea villasenor,fest_1_event_2,,fest_2,17XJ1A0109
3226,,galilea villasenor,fest_1_event_1,,fest_1,17XJ1A0109
39,club_1,galilea villasenor,club_1_event_1,Participant,,17XJ1A0109
570,club_1,nancy lamb,club_1_event_2,Participant,,17XJ1A0112
473,club_1,nancy lamb,club_1_event_1,Participant,,17XJ1A0112
655,club_3,nancy lamb,club_3_event_1,Participant,,17XJ1A0112
67,club_1,kayleigh koenig,club_1_event_2,Participant,,17XJ1A0113
3571,,tai kline,fest_1_event_1,,fest_1,17XJ1A0116
186,club_2,tai kline,club_2_event_1,Participant,,17XJ1A0116
3969,,tai kline,fest_1_event_3,,fest_1,17XJ1A0116
4624,,tai kline,fest_2_event_2,,fest_2,17XJ1A0116
1050,,tai kline,fest_1_event_1,,fest_1,17XJ1A0116
1599,,tai kline,fest_2_event_4,,fest_2,17XJ1A0116
537,club_3,tai kline,club_3_event_2,Participant,,17XJ1A0116
313,club_1,tai kline,club_1_event_2,Participant,,17XJ1A0116
111,club_3,baby heaton,club_3_event_1,Participant,,17XJ1A0117
332,club_1,baby heaton,club_1_event_2,Participant,,17XJ1A0117
282,club_1,baby heaton,club_1_event_3,Participant,,17XJ1A0117
327,club_2,gustavo mull,club_2_event_2,Participant,,17XJ1A0118
291,club_3,gustavo mull,club_3_event_2,Participant,,17XJ1A0118
358,club_2,gustavo mull,club_2_event_1,Participant,,17XJ1A0118
430,club_3,gustavo mull,club_3_event_3,Participant,,17XJ1A0118
40,club_1,gustavo mull,club_1_event_3,Participant,,17XJ1A0118
952,club_2,gustavo mull,club_2_event_3,Participant,,17XJ1A0118
969,club_3,gustavo mull,club_3_event_1,Participant,,17XJ1A0118
668,club_1,gustavo mull,club_1_event_1,Participant,,17XJ1A0118
1240,,kamron billingsley,fest_2_event_1,,fest_2,17XJ1A0121
2921,,kamron billingsley,fest_2_event_13,,fest_2,17XJ1A0121
3619,,kamron billingsley,fest_2_event_10,,fest_2,17XJ1A0121
1069,,kamron billingsley,fest_1_event_4,,fest_1,17XJ1A0121
3360,,kamron billingsley,fest_1_event_9,,fest_1,17XJ1A0121
1861,,kamron billingsley,fest_2_event_3,,fest_2,17XJ1A0121
1656,,kamron billingsley,fest_2_event_15,,fest_2,17XJ1A0121
1186,,kamron billingsley,fest_1_event_2,,fest_2,17XJ1A0121
3484,,kamron billingsley,fest_2_event_14,,fest_2,17XJ1A0121
1233,,kamron billingsley,fest_2_event_8,,fest_2,17XJ1A0121
3568,,kamron billingsley,fest_1_event_12,,fest_1,17XJ1A0121
5250,,kamron billingsley,fest_1_event_7,,fest_1,17XJ1A0121
1236,,nestor light,fest_1_event_7,,fest_1,17XJ1A0123
5384,,nestor light,fest_2_event_5,,fest_2,17XJ1A0123
1409,,nestor light,fest_2_event_12,,fest_2,17XJ1A0123
2924,,nestor light,fest_1_event_13,,fest_1,17XJ1A0123
1121,,nestor light,fest_1_event_11,,fest_1,17XJ1A0123
2682,,nestor light,fest_2_event_4,,fest_2,17XJ1A0123
4350,,nestor light,fest_1_event_6,,fest_1,17XJ1A0123
2610,,nestor light,fest_2_event_14,,fest_2,17XJ1A0123
2649,,nestor light,fest_1_event_8,,fest_1,17XJ1A0123
1652,,nestor light,fest_1_event_2,,fest_2,17XJ1A0123
5059,,nestor light,fest_2_event_15,,fest_2,17XJ1A0123
4792,,nestor light,fest_2_event_13,,fest_2,17XJ1A0123
1776,,nestor light,fest_2_event_10,,fest_2,17XJ1A0123
3801,,nestor light,fest_2_event_6,,fest_2,17XJ1A0123
3585,,nestor light,fest_2_event_1,,fest_2,17XJ1A0123
3200,,nestor light,fest_2_event_7,,fest_2,17XJ1A0123
3798,,nestor light,fest_1_event_5,,fest_1,17XJ1A0123
1817,,kurt munguia,fest_1_event_12,,fest_1,17XJ1A0124
4202,,kurt munguia,fest_2_event_12,,fest_2,17XJ1A0124
1750,,kurt munguia,fest_1_event_5,,fest_1,17XJ1A0124
3641,,kurt munguia,fest_1_event_10,,fest_1,17XJ1A0124
4922,,kurt munguia,fest_1_event_7,,fest_1,17XJ1A0124
1821,,kurt munguia,fest_1_event_11,,fest_1,17XJ1A0124
5123,,kurt munguia,fest_2_event_14,,fest_2,17XJ1A0124
4692,,kurt munguia,fest_1_event_2,,fest_2,17XJ1A0124
3973,,kurt munguia,fest_2_event_6,,fest_2,17XJ1A0124
1153,,kurt munguia,fest_2_event_8,,fest_2,17XJ1A0124
5077,,kurt munguia,fest_2_event_3,,fest_2,17XJ1A0124
4102,,kurt munguia,fest_1_event_13,,fest_1,17XJ1A0124
5024,,kurt munguia,fest_1_event_9,,fest_1,17XJ1A0124
5387,,kurt munguia,fest_2_event_11,,fest_2,17XJ1A0124
3995,,kurt munguia,fest_2_event_9,,fest_2,17XJ1A0124
5397,,kurt munguia,fest_2_event_1,,fest_2,17XJ1A0124
5145,,kurt munguia,fest_2_event_15,,fest_2,17XJ1A0124
235,club_3,annabelle malloy,club_3_event_1,Participant,,17XJ1A0125
2839,,rashawn balderas,fest_2_event_4,,fest_2,17XJ1A0126
3056,,rashawn balderas,fest_2_event_1,,fest_2,17XJ1A0126
991,,rashawn balderas,,organiser_5,fest_2,17XJ1A0126
3041,,rashawn balderas,fest_2_event_5,,fest_2,17XJ1A0126
3989,,rashawn balderas,fest_1_event_5,,fest_1,17XJ1A0126
2371,,rashawn balderas,fest_2_event_14,,fest_2,17XJ1A0126
1536,,rashawn balderas,fest_1_event_6,,fest_1,17XJ1A0126
3291,,rashawn balderas,fest_2_event_11,,fest_2,17XJ1A0126
1128,,rashawn balderas,fest_1_event_3,,fest_1,17XJ1A0126
228,club_2,rashawn balderas,club_2_event_2,Participant,,17XJ1A0126
397,club_3,rashawn balderas,club_3_event_1,Participant,,17XJ1A0126
5393,,tierney kasper,fest_2_event_5,,fest_2,17XJ1A0127
4313,,tierney kasper,fest_1_event_8,,fest_1,17XJ1A0127
2170,,tierney kasper,fest_2_event_2,,fest_2,17XJ1A0127
1678,,tierney kasper,fest_2_event_4,,fest_2,17XJ1A0127
3826,,tierney kasper,fest_1_event_5,,fest_1,17XJ1A0127
4124,,tierney kasper,fest_1_event_12,,fest_1,17XJ1A0127
4627,,tierney kasper,fest_2_event_5,,fest_2,17XJ1A0127
2308,,tierney kasper,fest_2_event_3,,fest_2,17XJ1A0127
3022,,efrain trujillo,fest_1_event_9,,fest_1,17XJ1A0129
1889,,efrain trujillo,fest_1_event_8,,fest_1,17XJ1A0129
1020,,efrain trujillo,fest_1_event_10,,fest_1,17XJ1A0129
2968,,efrain trujillo,fest_2_event_2,,fest_2,17XJ1A0129
3190,,efrain trujillo,fest_2_event_10,,fest_2,17XJ1A0129
3612,,efrain trujillo,fest_2_event_14,,fest_2,17XJ1A0129
3234,,efrain trujillo,fest_2_event_8,,fest_2,17XJ1A0129
2677,,efrain trujillo,fest_1_event_7,,fest_1,17XJ1A0129
1883,,efrain trujillo,fest_2_event_9,,fest_2,17XJ1A0129
5352,,efrain trujillo,fest_1_event_3,,fest_1,17XJ1A0129
2087,,efrain trujillo,fest_2_event_11,,fest_2,17XJ1A0129
3711,,efrain trujillo,fest_2_event_3,,fest_2,17XJ1A0129
5238,,susana dunn,fest_2_event_7,,fest_2,17XJ1A0130
2185,,susana dunn,fest_1_event_2,,fest_2,17XJ1A0130
5176,,susana dunn,fest_1_event_1,,fest_1,17XJ1A0130
3825,,susana dunn,fest_1_event_5,,fest_1,17XJ1A0130
5325,,susana dunn,fest_1_event_4,,fest_1,17XJ1A0130
4784,,susana dunn,fest_2_event_2,,fest_2,17XJ1A0130
2422,,susana dunn,fest_1_event_3,,fest_1,17XJ1A0130
5136,,margaret krebs,fest_2_event_2,,fest_2,17XJ1A0131
2990,,margaret krebs,fest_2_event_5,,fest_2,17XJ1A0131
4168,,margaret krebs,fest_2_event_5,,fest_2,17XJ1A0131
4279,,margaret krebs,fest_1_event_1,,fest_1,17XJ1A0131
5098,,margaret krebs,fest_2_event_4,,fest_2,17XJ1A0131
3378,,margaret krebs,fest_1_event_3,,fest_1,17XJ1A0131
5141,,margaret krebs,fest_2_event_2,,fest_2,17XJ1A0131
5311,,margaret krebs,fest_1_event_5,,fest_1,17XJ1A0131
212,club_3,margaret krebs,club_3_event_2,Participant,,17XJ1A0131
5355,,margaret krebs,fest_1_event_1,,fest_1,17XJ1A0131
1934,,leah root,fest_2_event_1,,fest_2,17XJ1A0133
3688,,leah root,fest_1_event_4,,fest_1,17XJ1A0133
2026,,leah root,fest_2_event_1,,fest_2,17XJ1A0133
506,club_2,leah root,club_2_event_1,Participant,,17XJ1A0133
4819,,leah root,fest_1_event_3,,fest_1,17XJ1A0133
5419,,leah root,fest_2_event_3,,fest_2,17XJ1A0133
4773,,leah root,fest_1_event_2,,fest_2,17XJ1A0133
87,club_1,janine mccormack,club_1_event_1,Participant,,17XJ1A0134
3091,,janine mccormack,fest_1_event_2,,fest_2,17XJ1A0134
9,club_2,janine mccormack,club_2_event_1,Participant,,17XJ1A0134
464,club_3,janine mccormack,club_3_event_1,Participant,,17XJ1A0134
490,club_3,janine mccormack,club_3_event_2,Participant,,17XJ1A0134
7,club_2,janine mccormack,club_2_event_2,Participant,,17XJ1A0134
1460,,phoenix thai,fest_1_event_1,,fest_1,17XJ1A0138
349,club_2,phoenix thai,club_2_event_1,Participant,,17XJ1A0138
3011,,phoenix thai,fest_2_event_1,,fest_2,17XJ1A0138
970,club_1,phoenix thai,club_1_event_2,Participant,,17XJ1A0138
1997,,phoenix thai,fest_1_event_5,,fest_1,17XJ1A0138
2212,,phoenix thai,fest_2_event_12,,fest_2,17XJ1A0138
2056,,phoenix thai,fest_1_event_6,,fest_1,17XJ1A0138
211,club_3,phoenix thai,club_3_event_3,Participant,,17XJ1A0138
265,club_1,phoenix thai,club_1_event_3,Participant,,17XJ1A0138
2622,,phoenix thai,fest_2_event_7,,fest_2,17XJ1A0138
623,club_2,phoenix thai,club_2_event_2,Participant,,17XJ1A0138
3544,,phoenix thai,fest_2_event_6,,fest_2,17XJ1A0138
3171,,phoenix thai,fest_1_event_10,,fest_1,17XJ1A0138
1276,,phoenix thai,fest_2_event_9,,fest_2,17XJ1A0138
5112,,phoenix thai,fest_2_event_15,,fest_2,17XJ1A0138
2356,,phoenix thai,fest_2_event_4,,fest_2,17XJ1A0138
1247,,phoenix thai,fest_1_event_8,,fest_1,17XJ1A0138
851,club_3,phoenix thai,club_3_event_1,Participant,,17XJ1A0138
4121,,phoenix thai,fest_2_event_10,,fest_2,17XJ1A0138
1742,,phoenix thai,fest_1_event_7,,fest_1,17XJ1A0138
4739,,phoenix thai,fest_1_event_11,,fest_1,17XJ1A0138
5358,,phoenix thai,fest_2_event_5,,fest_2,17XJ1A0138
2778,,phoenix thai,fest_1_event_2,,fest_2,17XJ1A0138
56,club_1,jocelyn fitzsimmons,club_1_event_2,Participant,,17XJ1A0140
268,club_3,jocelyn fitzsimmons,club_3_event_2,Participant,,17XJ1A0140
837,club_3,jocelyn fitzsimmons,club_3_event_3,Participant,,17XJ1A0140
309,club_2,jocelyn fitzsimmons,club_2_event_1,Participant,,17XJ1A0140
576,club_1,jocelyn fitzsimmons,club_1_event_3,Participant,,17XJ1A0140
971,club_2,jocelyn fitzsimmons,club_2_event_2,Participant,,17XJ1A0140
456,club_3,jocelyn fitzsimmons,club_3_event_1,Participant,,17XJ1A0140
4700,,abigale jimenez,fest_2_event_12,,fest_2,17XJ1A0141
2195,,abigale jimenez,fest_1_event_2,,fest_2,17XJ1A0141
3448,,abigale jimenez,fest_2_event_10,,fest_2,17XJ1A0141
4898,,abigale jimenez,fest_1_event_6,,fest_1,17XJ1A0141
390,club_1,louis samuels,club_1_event_3,Participant,,17XJ1A0142
638,club_2,louis samuels,club_2_event_1,Participant,,17XJ1A0142
807,club_3,louis samuels,club_3_event_3,Participant,,17XJ1A0142
833,club_3,louis samuels,club_3_event_1,Participant,,17XJ1A0142
511,club_1,louis samuels,club_1_event_2,Participant,,17XJ1A0142
5,club_2,louis samuels,club_2_event_2,Participant,,17XJ1A0142
1815,,hudson guzman,fest_2_event_6,,fest_2,17XJ1A0144
2515,,hudson guzman,fest_1_event_8,,fest_1,17XJ1A0144
1391,,hudson guzman,fest_2_event_4,,fest_2,17XJ1A0144
443,club_1,hudson guzman,club_1_event_2,Participant,,17XJ1A0144
5113,,hudson guzman,fest_2_event_2,,fest_2,17XJ1A0144
2693,,hudson guzman,fest_1_event_11,,fest_1,17XJ1A0144
1028,,hudson guzman,fest_2_event_12,,fest_2,17XJ1A0144
710,club_3,hudson guzman,club_3_event_2,Participant,,17XJ1A0144
5185,,hudson guzman,fest_2_event_5,,fest_2,17XJ1A0144
4589,,hudson guzman,fest_1_event_6,,fest_1,17XJ1A0144
3899,,hudson guzman,fest_1_event_2,,fest_2,17XJ1A0144
2709,,hudson guzman,fest_1_event_4,,fest_1,17XJ1A0144
1167,,hudson guzman,fest_1_event_1,,fest_1,17XJ1A0144
498,club_1,hudson guzman,club_1_event_1,Participant,,17XJ1A0144
3471,,hudson guzman,fest_2_event_3,,fest_2,17XJ1A0144
4857,,hudson guzman,fest_1_event_9,,fest_1,17XJ1A0144
4950,,hudson guzman,fest_1_event_12,,fest_1,17XJ1A0144
3460,,hudson guzman,fest_2_event_11,,fest_2,17XJ1A0144
3145,,hudson guzman,fest_2_event_7,,fest_2,17XJ1A0144
1692,,hudson guzman,fest_2_event_2,,fest_2,17XJ1A0144
2979,,hudson guzman,fest_1_event_7,,fest_1,17XJ1A0144
3391,,hudson guzman,fest_2_event_9,,fest_2,17XJ1A0144
4790,,hudson guzman,fest_1_event_13,,fest_1,17XJ1A0144
4002,,hudson guzman,fest_2_event_14,,fest_2,17XJ1A0144
3001,,hudson guzman,fest_2_event_1,,fest_2,17XJ1A0144
4446,,hudson guzman,fest_2_event_13,,fest_2,17XJ1A0144
423,club_2,hudson guzman,club_2_event_1,Participant,,17XJ1A0144
1259,,hudson guzman,fest_1_event_10,,fest_1,17XJ1A0144
4529,,hudson guzman,fest_2_event_8,,fest_2,17XJ1A0144
1147,,hudson guzman,fest_1_event_3,,fest_1,17XJ1A0144
2798,,hudson guzman,fest_2_event_5,,fest_2,17XJ1A0144
2599,,hudson guzman,fest_2_event_10,,fest_2,17XJ1A0144
4679,,abdullah reddy,fest_1_event_1,,fest_1,17XJ1A0145
281,club_1,abdullah reddy,club_1_event_1,Participant,,17XJ1A0145
2008,,abdullah reddy,fest_1_event_4,,fest_1,17XJ1A0145
3495,,abdullah reddy,fest_1_event_5,,fest_1,17XJ1A0145
244,club_2,abdullah reddy,club_2_event_1,Participant,,17XJ1A0145
2493,,abdullah reddy,fest_1_event_7,,fest_1,17XJ1A0145
3719,,abdullah reddy,fest_1_event_3,,fest_1,17XJ1A0145
1310,,abdullah reddy,fest_1_event_13,,fest_1,17XJ1A0145
1686,,abdullah reddy,fest_1_event_3,,fest_1,17XJ1A0145
2600,,abdullah reddy,fest_1_event_8,,fest_1,17XJ1A0145
2986,,abdullah reddy,fest_1_event_9,,fest_1,17XJ1A0145
3424,,abdullah reddy,fest_2_event_4,,fest_2,17XJ1A0145
412,club_3,abdullah reddy,club_3_event_2,Participant,,17XJ1A0145
1720,,abdullah reddy,fest_2_event_3,,fest_2,17XJ1A0145
747,club_1,abdullah reddy,club_1_event_2,Participant,,17XJ1A0145
3727,,abdullah reddy,fest_1_event_5,,fest_1,17XJ1A0145
986,,abdullah reddy,,organiser_6,fest_1,17XJ1A0145
3665,,abdullah reddy,fest_1_event_11,,fest_1,17XJ1A0145
1841,,abdullah reddy,fest_2_event_2,,fest_2,17XJ1A0145
798,club_3,abdullah reddy,club_3_event_2,Participant,,17XJ1A0145
591,club_2,keyana grubbs,club_2_event_2,Participant,,17XJ1A0146
500,club_3,keyana grubbs,club_3_event_1,Participant,,17XJ1A0146
3999,,keyana grubbs,fest_2_event_3,,fest_2,17XJ1A0146
4345,,keyana grubbs,fest_1_event_1,,fest_1,17XJ1A0146
1671,,keyana grubbs,fest_1_event_4,,fest_1,17XJ1A0146
59,club_3,amaiya solano,club_3_event_1,Participant,,17XJ1A0147
536,club_2,amaiya solano,club_2_event_3,Participant,,17XJ1A0147
353,club_2,amaiya solano,club_2_event_2,Participant,,17XJ1A0147
237,club_3,amaiya solano,club_3_event_2,Participant,,17XJ1A0147
363,club_2,amaiya solano,club_2_event_1,Participant,,17XJ1A0147
616,club_1,amaiya solano,club_1_event_3,Participant,,17XJ1A0147
4112,,blayne pollock,fest_1_event_2,,fest_2,17XJ1A0148
4893,,blayne pollock,fest_2_event_10,,fest_2,17XJ1A0148
2604,,blayne pollock,fest_1_event_4,,fest_1,17XJ1A0148
3636,,blayne pollock,fest_1_event_3,,fest_1,17XJ1A0148
4923,,blayne pollock,fest_2_event_12,,fest_2,17XJ1A0148
2575,,blayne pollock,fest_1_event_6,,fest_1,17XJ1A0148
2157,,blayne pollock,fest_2_event_15,,fest_2,17XJ1A0148
4619,,blayne pollock,fest_2_event_6,,fest_2,17XJ1A0148
3317,,blayne pollock,fest_1_event_11,,fest_1,17XJ1A0148
3836,,blayne pollock,fest_2_event_1,,fest_2,17XJ1A0148
1614,,blayne pollock,fest_2_event_8,,fest_2,17XJ1A0148
2751,,blayne pollock,fest_1_event_1,,fest_1,17XJ1A0148
5403,,blayne pollock,fest_2_event_13,,fest_2,17XJ1A0148
4763,,blayne pollock,fest_2_event_11,,fest_2,17XJ1A0148
4635,,blayne pollock,fest_2_event_2,,fest_2,17XJ1A0148
4842,,blayne pollock,fest_1_event_7,,fest_1,17XJ1A0148
4851,,blayne pollock,fest_2_event_5,,fest_2,17XJ1A0148
3499,,blayne pollock,fest_1_event_13,,fest_1,17XJ1A0148
459,club_3,aylin seals,club_3_event_1,Participant,,17XJ1A0149
42,club_3,aylin seals,club_3_event_2,Participant,,17XJ1A0149
708,club_2,aylin seals,club_2_event_2,Participant,,17XJ1A0149
978,,aylin seals,,organiser_6,fest_2,17XJ1A0149
722,club_1,aylin seals,club_1_event_1,Participant,,17XJ1A0149
206,club_1,aylin seals,club_1_event_2,organiser_4,,17XJ1A0149
2848,,jase franz,fest_1_event_2,,fest_2,17XJ1A0150
1674,,jase franz,fest_1_event_5,,fest_1,17XJ1A0150
739,club_3,jase franz,club_3_event_1,Participant,,17XJ1A0150
911,club_2,jase franz,club_2_event_2,Participant,,17XJ1A0150
4079,,jase franz,fest_2_event_4,,fest_2,17XJ1A0150
4943,,jase franz,fest_2_event_1,,fest_2,17XJ1A0150
5241,,emerson samuel,fest_2_event_3,,fest_2,17XJ1A0151
3874,,emerson samuel,fest_2_event_1,,fest_2,17XJ1A0151
1813,,emerson samuel,fest_2_event_2,,fest_2,17XJ1A0151
2912,,emerson samuel,fest_1_event_4,,fest_1,17XJ1A0151
3868,,emerson samuel,fest_1_event_3,,fest_1,17XJ1A0151
4252,,emerson samuel,fest_1_event_1,,fest_1,17XJ1A0151
3264,,emerson samuel,fest_2_event_4,,fest_2,17XJ1A0151
4751,,emerson samuel,fest_1_event_5,,fest_1,17XJ1A0151
3119,,emerson samuel,fest_1_event_2,,fest_2,17XJ1A0151
392,club_3,jalin milligan,club_3_event_2,Participant,,17XJ1A0153
425,club_3,jalin milligan,club_3_event_1,Participant,,17XJ1A0153
637,club_2,jalin milligan,club_2_event_2,Participant,,17XJ1A0153
654,club_2,jalin milligan,club_2_event_1,Participant,,17XJ1A0153
672,club_1,jalin milligan,club_1_event_2,Participant,,17XJ1A0153
1378,,chastity lyle,fest_1_event_4,,fest_1,17XJ1A0154
1879,,chastity lyle,fest_1_event_3,,fest_1,17XJ1A0154
2411,,chastity lyle,fest_1_event_8,,fest_1,17XJ1A0154
2443,,chastity lyle,fest_1_event_11,,fest_1,17XJ1A0154
899,club_3,chastity lyle,club_3_event_2,Participant,,17XJ1A0154
2521,,chastity lyle,fest_2_event_10,,fest_2,17XJ1A0154
4878,,chastity lyle,fest_1_event_5,,fest_1,17XJ1A0154
351,club_1,chastity lyle,club_1_event_1,Participant,,17XJ1A0154
1619,,chastity lyle,fest_1_event_4,,fest_1,17XJ1A0154
5406,,chastity lyle,fest_1_event_6,,fest_1,17XJ1A0154
369,club_2,chastity lyle,club_2_event_1,Participant,,17XJ1A0154
2490,,chastity lyle,fest_2_event_2,,fest_2,17XJ1A0154
3882,,chastity lyle,fest_2_event_12,,fest_2,17XJ1A0154
4012,,chastity lyle,fest_1_event_5,,fest_1,17XJ1A0154
3554,,chastity lyle,fest_2_event_6,,fest_2,17XJ1A0154
3104,,chastity lyle,fest_2_event_14,,fest_2,17XJ1A0154
2235,,chastity lyle,fest_2_event_7,,fest_2,17XJ1A0154
3970,,chastity lyle,fest_2_event_2,,fest_2,17XJ1A0154
5402,,chastity lyle,fest_2_event_5,,fest_2,17XJ1A0154
4565,,chastity lyle,fest_2_event_4,,fest_2,17XJ1A0154
4104,,chastity lyle,fest_2_event_3,,fest_2,17XJ1A0154
